id,title,prose
1,Businessman charged for mega-consignment of cocaine seized in Germany,"After more than a year, the Public Prosecutor's Office decided to charge businessman Diego Isaac Benítez Ca√±ete, owner of Pinturas Tupa SA and former manager of the Olimpia club, with drug trafficking. March 17, 2022 10:13 am The Prosecutor's Office decided to charge businessman and former sports manager Diego Isaac Benítez Ca√±ete with possession, trafficking and sale of narcotic substances. His international arrest warrant was also ordered, since there is information that he is not in Paraguay. The Public Prosecutor's Office accuses the businessman of having carried out, in the months of December 2020 and February 2021, activities aimed at sending to Israel a shipment of 16,174 kilos of alleged cocaine, which was hidden in containers. The cargo was seized in the port of Hamburg, Germany, on February 12, 2021. According to the Public Prosecutor's Office, the accused allegedly used the company Pinturas Tupa SA, of which he is the president and main beneficiary, to export the drugs, under the guise of a shipment of pastes that were to be consigned to an Israeli company called Tambour Group. Benítez had even appeared before the Public Prosecutor's Office in March 2021, and told the media that 20 days before the raids he had already reported the incident to the authorities and that he continued to collaborate with the investigation. His lawyer, former prosecutor Hugo Volpe, had said that it was normal for organized crime structures to act in terms of infecting the most in-demand cargo. The Paraguayan Packaging Company SRL (Envapar), which includes the companies Pinturas Tupa SA and Cartorpar, issued a statement stating that Pinturas Tupa is a victim of transnational organized crime. ""An export of products destined for that country was altered during the sea journey and the German authorities confirmed that the containers that originally contained our brand products now contain 16,000 kilos of cocaine,"" the company had stated. The Public Prosecutor's Office and the Senad had also raided a warehouse linked to the case, where they found 17 drums containing chemical precursors used to make cocaine. The operation known as North Atlantic had begun with the simultaneous raids of companies and a home, as part of an investigation into the seizure of large volumes of cocaine in Hamburg and Belgium. However, it took more than a year for any new progress to be made in the case."
2,Diego Benitez was arrested eight days ago in the United Arab Emirates,"Former sports leader Diego Benítez, wanted for a large cocaine shipment, has been detained in the United Arab Emirates for eight days, confirmed Jos√© Ag√ºero, Paraguay's ambassador to the Emirati country. June 13, 2022 05:13 am Jos√© Ag√ºero, Paraguay's ambassador to the United Arab Emirates , confirmed to Monumental 1080 AM that former sports leader Diego Benítez, who is wanted for drug trafficking, has been detained for eight days in a detention center in the Emirate of Sharjah. ""The information we have and that we have confirmed, but not yet through official channels, is that Diego Benítez was arrested eight days ago and is in a detention center in Sharjah, an hour and a half from the Emirati capital,"" the diplomat explained. He also indicated that, like any Paraguayan citizen, Benítez has the right to a trial and to receive all necessary assistance. He also noted that they are awaiting the report on the reason for his arrest. If it was because of the Interpol code, the extradition will be carried out, he added, adding that they learned of the arrest of the former sports leader from information provided by the Dubai Police. Diego Benítez was an official of the Guaran√≠ club, but at the end of 2017 the former president of the Olimpia club, Marco Trovato, brought him to work with him as a sports manager and in the following election he joined the Board of Directors as a full member. The Prosecutor's Office accuses him of having carried out, in the months of December 2020 and February 2021, activities aimed at sending to Israel a shipment of 16,174 kilos of alleged cocaine hidden in containers. The cargo was seized in the port of Hamburg, Germany, on February 12, 2021, and is recorded as one of the largest seizures in Europe in history."
3,Prosecutors do not rule out Diego Benítez being prosecuted in the United Arab Emirates,"The Public Prosecutor's Office has not ruled out the possibility that businessman and former sports manager of the Olimpia club, Diego Benítez, will be prosecuted in the United Arab Emirates for an incident related to the possession of false documents. June 13, 2022 09:09 am The prosecutor for International Affairs, Manuel Dold√°n, indicated that it may be a decision of the United Arab Emirates to prosecute businessman Diego Benítez for possession of false documents. The businessman had an original passport from another country, but with false data, according to Dold√°n. He also pointed out that the delay in official communication could even be based on the commission of a crime punishable under the national law of that country. So far, the authorities of the Emirate of Sharjah have not informed Paraguay about the arrest, so an emissary from the Embassy had to be sent. ""We are waiting for the communication, we do not have a specific time to tell you, that in 'x' days they would be sending the official communication, but we are already ahead of the responsibilities that are inherent to the Prosecutor's Office,"" he said, noting that they have already met with Judge Gustavo Amarilla to work on an extradition request. For her part, prosecutor Elva C√°ceres said that Germany had no intention of initially requesting the Paraguayan businessman, given that the investigations against him began after the seizure of some 16 tons of cocaine in the port of Hamburg in that country. However, the agent explained that Germany still has information that it is analyzing regarding Benítez and that it is not sharing it yet. Charges for mega-loads of cocaine The businessman, owner of Pinturas Tupa SA, was charged with possession, trafficking and sale of narcotic substances by the Public Prosecutor's Office, following seizures of mega-loads of cocaine in European ports, amounting to some 23 tons. The Public Prosecutor's Office accuses the businessman of having carried out, in the months of December 2020 and February 2021, activities aimed at sending to Israel a shipment of 16,174 kilos of alleged cocaine, which was hidden in containers. The cargo was seized in the port of Hamburg, Germany, on February 12, 2021, and is recorded as one of the largest seizures in Europe in history. Diego Benítez is also believed to be responsible for another shipment of seven tons of cocaine that had already been sold in Europe. This second shipment brings the total to 23 tons of the drug that were destined for the Old Continent. North Atlantic Operation The operation known as North Atlantic had begun with the simultaneous raids of companies and a home, as part of an investigation into the seizure of large volumes of cocaine in Hamburg and Belgium. However, it took more than a year for any new progress to be made in the case. Four cattle farms linked to former sports leader Diego Benítez were raided in April and make up the merger known as Estancia Venecia. The site consists of some 7,300 hectares, a luxurious main residence that has artificial lakes, surrounded by reservoirs, an Australian tank and two luxurious buildings with large infrastructure. One of them even has a fully heated and covered swimming pool, a refrigerated chamber, a shed in the service area and a corral for livestock. The place also houses a landing strip with night lighting."
4,Interpol announces the arrest of Diego Benítez in the United Arab Emirates,"Interpol has announced the arrest of former Olimpia manager Diego Benitez in the United Arab Emirates. Paraguay can now request his extradition. June 14, 2022 06:44 am Organized Crime Judge Gustavo Amarilla received this Tuesday the communication from Interpol regarding the arrest of Diego Benítez in the United Arab Emirates . The magistrate will refer the matter to the Prosecutor's Office, reported √öltima Hora journalist Ra√∫l Ram√≠rez. Benítez was arrested in a city near Dubai because he had a false passport. Paraguay was awaiting an official Interpol report to request the extradition of the former leader of the Olimpia club, who is being prosecuted for drug trafficking in the country. Benítez has had an arrest warrant issued since March 2022, as he is suspected of being part of a drug trafficking scheme that apparently had been operating since 2018. One of the cocaine shipments fell in Hamburg, Germany, in February 2021. The drugs were in paint cans. German authorities found 16,174 kilos in the container. At that time, Benítez's name came to light because he appeared as the person in charge of Pinturas Tupa SA, the company that had carried out the paperwork for the vessel. The company is part of the Envapar company, owned by the family of the former leader. Envapar is said to have been contaminated with cocaine."
5,Prosecutors request extradition of former leader Diego Benítez,"The Prosecutor's Office has asked Judge Gustavo Amarilla to extradite the former sports leader with an international arrest warrant for drug trafficking, Diego Benítez, who is currently detained in the United Arab Emirates. June 20, 2022 10:35 am Judge Gustavo Amarilla confirmed this Monday that he has already received the request for extradition from the Public Prosecutor's Office . Diego Benítez has been detained in the United Arab Emirates since early June due to immigration documentation problems and is wanted in our country. The magistrate told PDS radio and digital TV that the letter of request, once ready, has to be translated to the destination country, so the request will be issued this week if possible. The former leader of the Olimpia and Guaran√≠ clubs has an international arrest warrant and is accused of possession, trafficking and sale of narcotic substances. He is being investigated for a shipment of 16,174 kilos of cocaine that was seized in February 2021 in Hamburg, Germany, which left a private port in Villeta. The drug shipment was seized in cans from Pinturas Tupa SA, owned by businessman Diego Benítez."
6,Paraguay asks the United Arab Emirates for the extradition of Diego Benítez,"Paraguayan justice has already requested the extradition of former sports leader Diego Benítez from the United Arab Emirates, who is detained in the country on the Arabian Peninsula and has an international arrest warrant for drug trafficking. June 22, 2022 05:16 am Organized Crime Judge Gustavo Amarilla issued the extradition request to the United Arab Emirates against Diego Benítez , after analyzing the request of the representative of the Public Ministry, reported √öltima Hora journalist Ra√∫l Ram√≠rez. Diego Isaac Benítez is accused by the Prosecutor's Office of being responsible for activities aimed at sending a shipment of 16,174 kilos of cocaine hidden in containers to Israel, between December 2020 and February 2021. The former manager of the Olimpia club and owner of the company Pinturas Tupa SA was arrested in early June in a detention center in the Emirate of Sharjah. He faces charges in Paraguay for possession, trafficking and sale of narcotic substances. The extradition request sent by Judge Amarilla is a document in which all the arguments and mentions of the national and international regulations by which the extradition of the compatriot is required must be set out. In addition, all these documents must be translated into Arabic and the document must be sent through diplomatic channels to the United Arab Emirates. One of the procedures that led to Benítez's arrest took place in the port of Hamburg, Germany, on February 12, 2021, and is recorded as one of the most important seizures ever recorded in Europe. The former leader claimed that the cargo had been contaminated abroad. Diego Benítez was an official of the Guaran√≠ club, but at the end of 2017 the former president of the Olimpia club, Marco Trovato, brought him to work with him as a sports manager and in the following election he joined the Board of Directors as a full member."
7,"Who is Diego Benítez, the former sports leader arrested in Dubai?","Former Olimpia sports manager Diego Benítez was recently arrested in Dubai, according to the National Police. The businessman was wanted internationally for sending some 23 tons of cocaine to Europe. June 12, 2022 03:36 pm Criminal Investigation Commissioner Walter Cardozo informed √öltima Hora that the charg√© d'affaires of the Paraguayan Embassy in Qatar, Diego Estigarribia, confirmed the arrest of the former sports manager of the Olimpia club due to documentation problems. The businessman, owner of Pinturas Tupa SA, was charged with possession, trafficking and sale of narcotic substances by the Public Prosecutor's Office , following seizures of mega-loads of cocaine in European ports , amounting to some 23 tons. The commissioner said that information was requested from the International Criminal Police Organization (Interpol) and that so far there have been no responses, since the authorities of the United Arab Emirates have not reported on the arrest, so the representative of the Paraguayan Embassy had to be sent for official confirmation. The Paraguayan ambassador in Dubai said they are ready to initiate legal proceedings, adding that the businessman is in the Emirate of Sharjah on the basis of a false passport, according to preliminary information available. So far, there is no clear information on what procedures will be carried out to seek the extradition of the Paraguayan, since the United Arab Emirates does not have an extradition agreement with Paraguay. Background Diego Benítez was an official of the Guaran√≠ club, but at the end of 2017 the former president of the Olimpia club, Marco Trovato, brought him to work with him as a sports manager and in the following vote he joined the Board of Directors as a full member. The Public Prosecutor's Office accuses the businessman of having carried out, in the months of December 2020 and February 2021, activities aimed at sending to Israel a shipment of 16,174 kilos of alleged cocaine, which was hidden in containers. The cargo was seized in the port of Hamburg, Germany, on February 12, 2021, and is recorded as one of the largest seizures in Europe in history. Diego Benítez is also believed to be responsible for another shipment of 7 tons of cocaine that had already been sold in Europe. This second shipment brings the total to 23 tons of the drug that were destined for the old continent. According to the Public Prosecutor's Office, the accused allegedly used the company Pinturas Tupa SA, of which he is the president and main beneficiary, to export the drugs, under the guise of a shipment of pastes that were to be consigned to an Israeli company called Tambour Group. Benítez had even appeared before the Public Prosecutor's Office in March 2021, and told the media that 20 days before the raids he had already reported the incident to the authorities and that he was continuing to cooperate with the investigation. The businessman claimed that the cargo had been contaminated abroad. During the raids, 17 drums containing chemical precursors used to make cocaine were found in a warehouse. North Atlantic Operation The operation known as North Atlantic had begun with the simultaneous raids of companies and a home, as part of an investigation into the seizure of large volumes of cocaine in Hamburg and Belgium. However, it took more than a year for any new progress to be made in the case. The latest operations were carried out in April of this year against companies linked to the shipment of cocaine to Germany, in simultaneous operations with France, Belgium, the Netherlands, Colombia and Germany. In Paraguay, operations were carried out in Asunci√≥n, Limpio and Mariano Roque Alonso. Four cattle farms linked to former sports leader Diego Benítez were raided in April and make up the merger known as Estancia Venecia. The site consists of some 7,300 hectares, a luxurious main residence that has artificial lakes, surrounded by reservoirs, an Australian tank and two luxurious buildings with large infrastructure. One of them even has a fully heated and covered swimming pool, a refrigerated chamber, a shed in the service area and a corral for livestock. They also have a landing strip with night lighting."
8,Paraguay translates Diego Benítez's extradition request into Arabic and sends it,"An Organized Crime judge reported that the extradition request for the former sports leader detained in Dubai, Diego Benítez, has already been translated into Arabic and sent to the National Chancellery, on its way to the United Arab Emirates. June 27, 2022 05:24 pm Gustavo Amarilla, a judge in the Organized Crime Unit, reported on Monday that the official request for the extradition of former sports leader Diego Benítez has already been translated into Arabic and sent first to the National Foreign Ministry and from there to the United Arab Emirates , where Benítez is being held. The judge also stated that the document has a total of 40 pages, in which all the arguments and references to the national and international regulations under which the extradition of the compatriot is required are set out. The request also included translated copies of the charges, the national and international arrest warrant and the declaration of rebellion against the former sports leader. Finally, Judge Amarilla said he did not know how long the procedure for Benítez to be extradited to Paraguay would take, because he was not familiar with the laws currently applied in the United Arab Emirates in this regard. On June 22, the Paraguayan justice system requested the extradition of Diego Isaac Benítez Ca√±ete from the Arabian Peninsula, who is being held specifically in Dubai and has an international arrest warrant for drug trafficking . The defendant is accused by the Public Prosecutor's Office of being responsible for activities aimed at sending a shipment of 16,174 kilos of cocaine hidden in containers to Israel, between December 2020 and February 2021. Diego Benítez was an official of the Guaran√≠ club, but at the end of 2017 the former president of the Olimpia club Marco Trovato brought him to work with him as a sports manager and in the following vote he joined the Board of Directors as a full member."
9,United Arab Emirates has already received a request for Diego Benitez's extradition,"Judge Gustavo Amarilla confirmed that the United Arab Emirates has already received the extradition request for former sports leader Diego Benítez, accused of alleged drug trafficking. July 11, 2022 12:08 pm The extradition request for former sports leader Diego Benítez has already been received in the United Arab Emirates , according to Judge Gustavo Amarilla. The Paraguayan Prosecutor's Office has requested that the accused be brought to the country to face a case for drug trafficking. The Paraguayan was arrested for carrying an original passport with false content and was detained in the city of Sharjah, on the northern coast of the Persian Gulf, north of Dubai. At the end of June, Judge Gustavo Amarilla finished drafting the extradition request, but it had to be translated into Arabic for submission, so the request only recently arrived in Dubai. In March of this year, Amarilla ordered his arrest nationally and internationally, since his whereabouts were unknown. The defendant is being sought for alleged drug shipments from Paraguay to Europe. According to the prosecutor in the trafficking case in Paraguay, Elva C√°ceres, the information available is that drugs have been trafficked since 2018 through the companies that make up Benítez's group. A total of 16,174 kilos of the drug in paint cans had been seized in the city of Hamburg, Germany, in February 2021. This case was known as Operation North Atlantic, which carried out new raids in March of this year. Benítez is responsible for Pinturas Tupa SA, the company that carried out the paperwork for the boat. This company is part of the Envapar company, owned by the family of the former sports director of the Olimpia club. According to investigations, paint cans that fell into the warehouse of one of the Envapar company in Germany were contaminated with cocaine. Benítez was subsequently charged with international trafficking and commercialization of drugs and narcotics. The Prosecutor's Office does not rule out that he will first be prosecuted in the country where he is detained, for the false passport, and then extradited to Paraguay."
