id,title,prose
10,"Diego Benítez, on trial in the United Arab Emirates but at liberty","Businessman Diego Benítez, wanted for alleged drug trafficking and currently in the United Arab Emirates, will face his extradition process to Paraguay in freedom, according to the International Affairs Prosecutor, Manuel Dold√°n. July 18, 2022 06:46 am On June 12, Judge Gustavo Amarilla confirmed that the extradition request against the sports leader is already in the United Arab Emirates (UAE). It was Amarilla himself who ordered the national and international arrest of Benítez. He is wanted for alleged drug shipments from Paraguay to Europe. The shipment involved a shipment of some 16,174 kilos of cocaine. In this regard, the International Affairs prosecutor reported that Diego Benítez is subject to extradition proceedings, but is litigating at liberty in the Arab country. ‚ÄúHe is holding documents,‚Äù he said. ""The only measure I am aware of is the prohibition of leaving the UAE territory until the competent authorities resolve the extradition request,"" Dold√°n told 780 AM. In the same vein, the prosecutor said that the UAE was asked to secure the extraditable as a result of the process. ""The request is already before the competent courts of the United Arab Emirates and in that context it has been decided that he should be released from prison,"" he added. The defendant is accused by the Public Prosecutor's Office of being responsible for activities aimed at sending a shipment of 16,174 kilos of cocaine hidden in containers to Israel, between December 2020 and February 2021. Diego Benítez was an official of the Guaran√≠ club, but at the end of 2017 the former president of the Olimpia club Marco Trovato brought him to work with him as a sports manager and in the following vote he joined the Board of Directors as a full member."
11,Judge orders measures against two assets of Diego Benítez,"Judge Rosarito Montan√≠a on Thursday decreed a ban on innovation and contracting, and declared two properties belonging to former sports manager of the Olimpia club Diego Benítez, who was arrested in Dubai, subject to eventual confiscation. November 03, 2022 11:15 am Interim Judge Rosarito Montan√≠a has ordered a ban on Diego Benítez, who is currently in extradition proceedings in the United Arab Emirates, from innovating and contracting properties, reported Ra√∫l Ram√≠rez, a journalist from √öltima Hora. In addition, two properties were declared subject to possible confiscation and passed to the administration of the National Secretariat for the Administration of Seized and Confiscated Assets (Senabico). The former sports director of the Olimpia club was arrested this year in Dubai. The businessman was wanted internationally for sending some 23 tons of cocaine to Europe. According to the Public Prosecutor's Office, Benítez is responsible for activities aimed at sending a shipment of 16,174 kilos of cocaine hidden in containers to Israel, between December 2020 and February 2021. Benítez was an official of the Guaran√≠ club, but at the end of 2017 the former president of the Olimpia club Marco Trovato brought him to work with him as sports manager and in the following vote he joined the Board of Directors as a full member. The Paraguayan was arrested for carrying an original passport with false content and was detained in the city of Sharjah, on the northern coast of the Persian Gulf, north of Dubai. He was charged with possession, trafficking and sale of narcotic substances."
12,Extradition hearing for Diego Benitez postponed to 2023 in the United Arab Emirates,"The Ministry of Foreign Affairs reported that the hearing on the extradition request for Diego Isaac Benítez Ca√±ete has been postponed until January 2023. The former sports leader was prosecuted in the country for a shipment of 16 tons of cocaine. December 15, 2022 05:54 am The Foreign Ministry reported that the court hearing of Diego Isaac Benítez Ca√±ete, within the framework of the processing of the extradition request, was once again suspended at the request of his defense in the United Arab Emirates. The hearing, which was scheduled for December 11, 2022, was rescheduled for January 9, 2023. Diego Isaac Benítez was arrested last June in the United Arab Emirates, as part of an Interpol red notice issued by Paraguayan judicial authorities. They also indicated that the former leader of the Olimpia club is accused in Paraguay of allegedly committing the crimes of possession, trafficking and sale of narcotic substances. In this regard, they explained that after learning of his arrest, the judge of the Second Shift of the Specialized Unit against Organized Crime of the Judicial District of Asunci√≥n sent a request to the authorities of the United Arab Emirates to request his extradition. Subsequently, legal proceedings were initiated in the United Arab Emirates to process the request, which is currently ongoing. ""In accordance with the instructions issued by the Ministry of Foreign Affairs, the Embassy of Paraguay in the United Arab Emirates is constantly monitoring the development of the case through institutional channels in the UAE,"" they said. Among other things, they stressed that the Paraguayan Embassy is not part of the process of processing the extradition request and, therefore, does not intervene or participate in it. ‚ÄúAccording to information received from the relevant Emirati authorities, citizen Diego Isaac Benítez Ca√±ete is prohibited from leaving the Emirati territory, which has been enforced by the retention of his passport and by the facial recognition system in force at the country's border points,‚Äù they explained. Finally, they stated that they will inform the public of any new developments on the matter. Background of the case The former sports leader was arrested this year in Dubai. The businessman was wanted internationally for sending some 23 tons of cocaine to Europe. According to the Public Prosecutor's Office, Benítez is responsible for activities aimed at sending a shipment of 16,174 kilos of cocaine hidden in containers to Israel, between December 2020 and February 2021. Benítez was an official of the Guaran√≠ club, but at the end of 2017 the former president of the Olimpia club Marco Trovato brought him to work with him as sports manager and in the following vote he joined the board of directors as a full member. The Paraguayan was arrested for carrying an original passport with false content and was detained in the city of Sharjah, on the northern coast of the Persian Gulf, north of Dubai. He was charged with possession, trafficking and sale of narcotic substances."
13,Former sports leader Diego Benítez ordered to be extradited to Paraguay,"A judge in the United Arab Emirates has ordered the extradition to Paraguay of former sports leader Diego Benítez, who is being prosecuted for sending some 23 tons of cocaine to Europe. January 30, 2023 06:52 am A United Arab Emirates (UAE) court has ordered the extradition to Paraguay of Diego Isaac Benítez Ca√±ete, former sports manager of Club Olimpia, who is linked to the case of the mega-shipment of 16 tons of cocaine seized on February 12, 2021 in Hamburg, northern Germany. Following the decision of a UAE magistrate, the businessman investigated for drug trafficking has 30 days to appeal the extradition, according to Monumental 1080 AM. Meanwhile, according to the Ministry of Foreign Affairs, the court ruling would become final if Benítez did not appeal it within the legal period. In this way, the competent Emirati judge of first instance upheld the request that had been submitted by the Paraguayan judicial authorities months ago. Diego Benítez was arrested in June 2022 in Dubai, United Arab Emirates, following an Interpol red notice issued by Paraguayan authorities, after being charged with possession, trafficking and sale of narcotic substances. After learning of his arrest, the judge of the Second Shift of the Specialized Unit against Organized Crime of the Judicial District of Asunci√≥n sent a request to the authorities of the United Arab Emirates to request his extradition. According to the Paraguayan Prosecutor's Office, he was responsible for sending a shipment of 16,174 kilos of cocaine hidden in containers to Israel between December 2020 and February 2021. The now extradited player was an official of the Guaran√≠ club, but in 2017 he held the position of sports manager of the Olimpia Club, after which he joined the board of directors as a full member."
14,"United Arab Emirates confirms extradition of Diego Benitez, implicated in mega cocaine shipment","The Ministry of Foreign Affairs (MRE) announced that the United Arab Emirates (UAE) confirmed the extradition of former sports leader Diego Benítez, a fugitive for sending a mega-load of cocaine to Europe. He had been arrested in that country due to documentation problems in June 2022. November 20, 2023 11:23 am The notification from the United Arab Emirates was communicated to the Supreme Court of Justice (SCJ) and the Attorney General's Office on Monday morning so that they can initiate the relevant procedures, the National Ministry of Foreign Affairs reported through a newsletter on its website. This decision is issued by the third instance in the Emirati courts, which is final. A court in the United Arab Emirates (UAE) had ordered in January 2023 the extradition to Paraguay of Diego Isaac Benítez Ca√±ete, the former sports manager of Club Olimpia, who is linked to the case of the mega-shipment of 16 tons of cocaine seized on February 12, 2021 in Hamburg, northern Germany. The fugitive from Paraguayan justice could appeal this measure within a period of 30 days. Since then, three instances have been overcome to arrive at the decision communicated today. Benítez is the owner of Pinturas Tupa SA, a company that, according to the Public Prosecutor's Office, was used to export drugs under the guise of a shipment of pastes that were to be consigned to an Israeli company called Tambour Group. He was charged in the framework of said investigation for possession, trafficking and sale of narcotic substances in March 2022. At that time, his international arrest warrant was also ordered, because it was already known that he had left the national territory."
15,Judge issues an ‚Äúurgent‚Äù notice to Interpol for the removal of Diego Benítez,"A judge has issued an ""urgent"" order to Interpol to search for and remove from the United Arab Emirates (UAE) former sports leader Diego Benítez, who is on the run for the shipment of some 23 tons of cocaine to Europe. November 20, 2023 02:38 pm Organized Crime Judge Gustavo Amarilla issued an urgent notice to Interpol in Asunci√≥n to begin proceedings with the authorities of the United Arab Emirates to find and remove the extraditable Diego Benítez so that he can be placed at their disposal, reported Ra√∫l Ram√≠rez, a journalist from √öltima Hora. The Ministry of Foreign Affairs (MRE) announced on Monday that the United Arab Emirates (UAE) has confirmed the extradition of Benítez, a fugitive for sending a mega-load of cocaine to Europe. A court in the United Arab Emirates (UAE) had ordered last January the extradition to Paraguay of Benítez, the former sports director of Club Olimpia, who is linked to the case of the mega-shipment of 16 tons of cocaine seized on February 12, 2021 in Hamburg, northern Germany. Benítez is the owner of Pinturas Tupa SA, a company that, according to the Public Prosecutor's Office, was used to export drugs under the guise of a shipment of pastes that were to be consigned to an Israeli company called Tambour Group. He was arrested last year in Dubai Diego Benítez was arrested in June 2022 in Dubai, United Arab Emirates, following an Interpol red notice issued by Paraguayan authorities, after being charged with possession, trafficking and sale of narcotic substances. After learning of his arrest, the judge of the Second Shift of the Specialized Unit against Organized Crime of the Judicial District of Asunci√≥n sent a request to the authorities of the United Arab Emirates to request his extradition. According to the Paraguayan Prosecutor's Office, he was responsible for sending a shipment of 16,174 kilos of cocaine hidden in containers to Israel between December 2020 and February 2021. He was an employee of the Guaran√≠ club, but in 2017 he held the position of sports manager of the Olimpia Club, after which he joined the board of directors as a full member."
16,Interpol awaits UAE response for extradition of alleged drug trafficker Diego Benitez,"Interpol Paraguay is awaiting a response on the situation of Diego Benítez, linked to the shipment of a mega-load of cocaine to Europe by his counterparts in the United Arab Emirates . They do not know whether or not he is detained in a police station in that country. November 22, 2023 10:16 am Following the confirmation of the extradition of Diego Isaac Benítez Ca√±ete, linked to the shipment of 16 tons of cocaine to Europe, Interpol Paraguay sent its counterparts in the United Arab Emirates (UAE) a document in which it requested to know the situation of the compatriot. So far, they have not received a response from the National Central Office (NCO) in Dubai, so they do not know if Benítez is being held in a police station in the Arab country or if he is free. ""We received the judicial document so that we can communicate with our counterparts in Dubai. We did so immediately and now we are waiting for the return,"" Commissioner Juan Pereira, head of the Interpol Department, told NPY. If not, they requested the location and arrest of the Paraguayan in order to proceed with his extradition. Benítez is a former sports manager of Club Olimpia and is in the crosshairs of Paraguayan justice for his alleged connection to the case of the mega-shipment of 16 tons of cocaine seized on February 12, 2021 in Hamburg, northern Germany. According to the Public Prosecutor's Office, Benítez used his company Pinturas Tupa SA to export the drugs, under the guise of a shipment of pastes that were to be consigned to an Israeli company called Tambour Group. He was charged in the framework of said investigation for possession, trafficking and sale of narcotic substances in March 2022. At that time, his international arrest warrant was also ordered, because it was already known that he had left the national territory. In June 2022, he had been arrested in Dubai for carrying an original passport with false content."
17,"Diego Benitez is arrested in the UAE, a case is opened against him and extradition to Paraguay is postponed","Former sports leader Diego Benítez is now being prosecuted in the United Arab Emirates (UAE), where his extradition to Paraguay was confirmed, which was ultimately postponed after being held in the Middle East. In the country he is wanted for sending a mega-consignment of cocaine to Europe. December 01, 2023 11:09 am According to a report by NPY, Diego Benítez is in prison in the United Arab Emirates , whose courts confirmed his extradition to Paraguay on November 20. The Supreme Court of Justice (SCJ) and the Attorney General's Office had been notified at that time to initiate the corresponding procedures for his transfer to Paraguay, where he was prosecuted for the shipment of 16 tons of cocaine to Europe, the cargo of which was seized in Hamburg, northern Germany, in 2021. The former sports director of Club Olimpia will not yet be extradited to the country because an investigation has been opened against him in the United Arab Emirates for alleged minor crimes. He had been detained in that country due to documentation problems in June 2022. G√ºnter Krone, spokesman for Paraguay's Public Prosecutor's Office, told NPY that a meeting was held in the last few hours between Interpol agents and representatives of Abu Dhabi to coordinate the extradition. Given the new information on the matter, he said that the Prosecutor's Office will provide further updates soon."
18,Alleged drug trafficker linked to businessman Diego Benítez arrested in Colombia,"Colombian authorities arrested this weekend the alleged Iranian-German drug trafficker Pouya Mohmini, who was being sought for a shipment of 16 tons of cocaine that was seized in Hamburg, Germany, and that left from Paraguay. February 04, 2024 07:59 pm Colombian media outlet El Espectador reports that he is one of the most wanted drug traffickers in Europe and that he had been hiding for some time in the city of Cali, Colombia, under another identity, according to authorities. The man had an Interpol red code and was handed over to Colombian immigration authorities, awaiting deportation to Germany. It is believed that the man was still coordinating the shipment of drugs to Europe from Colombia. The detainee had identification as Reza Raskshan, but was wanted for the crimes of importing and trafficking large quantities of narcotics and arms trafficking. The 16 tons of cocaine seized left Paraguay hidden in paint cans from the company of former sports leader Diego Benítez, who is currently in prison in the United Arab Emirates. The investigation against Diego Benítez in Paraguay indicates that the drugs were placed in the cans inside the former leader's company and not on the way."
19,United Arab Emirates announces that Diego Benitez can be extradited to Paraguay,"Former sports leader Diego Benítez C√°ceres , prosecuted for alleged drug trafficking, can now be extradited to Paraguay to face justice, according to reports from the United Arab Emirates . August 19, 2024 02:49 pm Judicial authorities in the United Arab Emirates have informed Paraguayan justice that Diego Isaac Benítez Ca√±ete may be extradited to the country to face charges of alleged drug trafficking, reported √öltima Hora journalist Ra√∫l Ram√≠rez. Judge Osmar Legal also requested the list of prosecutors who will bring him from the Arab country. The former sports manager of Club Olimpia is wanted by local authorities in connection with the mega shipment of 16 tons of cocaine that was seized on February 12, 2021 in Hamburg, northern Germany. In March 2022, he was charged with possession, trafficking and sale of narcotic substances, and the Paraguayan justice system ordered his international arrest. His whereabouts were unknown until June 2022, when it was learned that he had been detained in the Arab country due to documentation problems. Paraguay began the extradition process, which was confirmed by the UAE on November 20, 2023, but was postponed in December of the same year due to an investigation being opened against him in the United Arab Emirates for alleged minor crimes. According to the Public Prosecutor's Office, the businessman carried out activities in December 2020 and February 2021 aimed at sending a shipment of 16,174 kilos of alleged cocaine to Israel, which was hidden in containers. It is also linked to a 7-ton shipment that has already been sold in Europe. The investigation indicates that Benítez used his company, Pinturas Tupa SA, to send the drugs under the guise of a shipment of fillers for the Israeli company Tambour Group."
20,Prosecutors charge Diego Benítez with money laundering and criminal association,"The Prosecutor's Office has brought charges against former sports leader Diego Benítez, accused of having committed acts of money laundering and criminal association. His wife and other relatives were also charged. October 01, 2024 01:56 pm Public prosecutors Nathalia Silva Esteche, from the Specialized Money Laundering Unit No. 1, and Luz Guerrero, from the Specialized Money Laundering Unit No. 9, charged former sports leader Diego Benítez with alleged participation in criminal acts of money laundering and criminal association. Karen Alcira Ortellado, Ver√≥nica Elizabeth Ortellado Talavera and Gabriela Magal√≠ Ortellado Talavera were also charged for the same reasons. ""The factual hypothesis supported by the Public Prosecutor's Office is that the companies Preferente SA, Prominente SA and Pinturas Tupa SA (companies formed by Diego Isaac Benítez and his wife Karen Ortellado Talavera) would have been used to hide or disguise, with the entry into the financial system, money from illicit activities related to the shipment of narcotic substances abroad, in the period between December 13, 2019 and February 2021,"" reads the indictment document. It is also reported that the companies Bonagro SA, Transporte Sky Line SA, Seguridad Skanderberg SA and the real estate company Casa Nossa SA were allegedly established by Diego Benítez, Ver√≥nica Ortellado and Gabriela Ortellado, to conceal the origin of the assets that come from the commission of criminal offences of possession, trafficking and sale of narcotic substances. The accused is currently outside the country, in the United Arab Emirates, and has an international arrest warrant. In August, judicial authorities in the United Arab Emirates informed the local courts that Benítez could be extradited to the country on charges of alleged drug trafficking. The former sports leader is wanted by local authorities in connection with the mega shipment of 16 tons of cocaine that was seized in February 2021 in Hamburg, Germany. The former leader is also linked to a seven-ton shipment that was allegedly sold in Europe. Precautionary measures Likewise, the public prosecutors Nathalia Silva Esteche and Luz Guerrero requested the application of precautionary measures. In the case of Diego Benítez, the international arrest warrant was ratified, while in the case of Karen Ortellado, Ver√≥nica Ortellado and Gabriela Ortellado, it was requested that they be summoned to a hearing and that their migration movement be registered to verify whether they are in national territory. The court also requested a ban on innovating and contracting on properties registered in the name of the defendants and the companies used by them to commit money laundering crimes. This also affects the defendants' cars. The blocking of the bank and financial accounts of the accused was also requested."